epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,10956.8,0.3937,0.53829,0.37012,0.98346,0,0.98042,0.97943,0.97954,0.91306,0.98042,0.97943,0.97792,0.91791,0.545,0.22431,0.4096,0.7941,0,0.00154982,0.00154982,0.00154982
47,11196.4,0.37984,0.52523,0.36345,0.98388,0,0.98392,0.97943,0.97854,0.91152,0.98392,0.97943,0.97854,0.91688,0.54436,0.17918,0.44819,0.78066,0,0.00137143,0.00137143,0.00137143
48,11435.2,0.38211,0.54794,0.36384,0.97288,0,0.99013,0.97943,0.98055,0.9137,0.99013,0.97943,0.98055,0.91505,0.51874,0.16849,0.40343,0.74921,0,0.00120313,0.00120313,0.00120313
49,11675.7,0.37142,0.47442,0.35005,0.97079,0,0.99334,0.97943,0.98324,0.90715,0.99334,0.97943,0.98383,0.91475,0.54085,0.16924,0.41963,0.78239,0,0.00104537,0.00104537,0.00104537
50,11915.9,0.37688,0.54306,0.35015,0.96655,0,0.99059,0.97686,0.9828,0.91252,0.99059,0.97686,0.9828,0.91783,0.53025,0.23497,0.38924,0.74239,0,0.000898581,0.000898581,0.000898581
51,12139,0.4447,0.4485,0.36506,0.88678,0,0.98135,0.97943,0.98336,0.88042,0.98135,0.97943,0.98336,0.89276,0.56222,0.2011,0.51674,0.81041,0,0.000763174,0.000763174,0.000763174
52,12360.5,0.44677,0.25462,0.29629,0.87201,0,0.9917,0.97943,0.99251,0.92621,0.9917,0.97943,0.99251,0.92912,0.48792,0.17176,0.3253,0.69299,0,0.000639518,0.000639518,0.000639518
53,12581.4,0.41026,0.20658,0.26989,0.84422,0,0.99377,0.97943,0.99199,0.92933,0.99377,0.97943,0.99199,0.93385,0.49871,0.16663,0.36452,0.71902,0,0.00052795,0.00052795,0.00052795
54,12802.4,0.41029,0.20228,0.26668,0.83272,0,0.99248,0.97943,0.99188,0.9297,0.99248,0.97943,0.99188,0.93269,0.4885,0.16431,0.31684,0.69018,0,0.000428777,0.000428777,0.000428777
55,13024.2,0.39741,0.19605,0.25968,0.81962,0,0.99179,0.97943,0.99144,0.92921,0.99179,0.97943,0.99144,0.93591,0.47916,0.16424,0.32284,0.69476,0,0.00034227,0.00034227,0.00034227
56,13245.1,0.39209,0.19796,0.25403,0.82251,0,0.99397,0.97943,0.99081,0.92978,0.99397,0.97943,0.99081,0.93579,0.47829,0.16097,0.32005,0.6937,0,0.000268667,0.000268667,0.000268667
57,13467,0.39702,0.19984,0.25147,0.80975,0,0.99438,0.97943,0.99153,0.92876,0.99438,0.97943,0.99153,0.93463,0.48488,0.16058,0.31528,0.70211,0,0.000208169,0.000208169,0.000208169
58,13689.1,0.39307,0.19173,0.25057,0.80224,0,0.99196,0.97943,0.99149,0.93092,0.99196,0.97943,0.99149,0.93459,0.47674,0.16016,0.32404,0.69184,0,0.000160943,0.000160943,0.000160943
59,13910.3,0.40494,0.18546,0.2537,0.79772,0,0.99218,0.97943,0.99134,0.93157,0.99218,0.97943,0.99134,0.93524,0.47377,0.16275,0.32423,0.67703,0,0.000127117,0.000127117,0.000127117
60,14131,0.38652,0.19916,0.2498,0.79198,0,0.99331,0.97943,0.99206,0.92943,0.99331,0.97943,0.99206,0.93563,0.49115,0.16382,0.32419,0.69894,0,0.000106784,0.000106784,0.000106784
